

BUFFER,FROM_INSTANCE.PORT,TO_INSTANCE.PORT,SIZE,MEMORY_GROUP,BANK,OFFSET,DMA_NEEDED
buf38,topStencil.core.k_flux2.po0,hdiff_out0.pi0,1024,"(7, 4)",1,0,-
buf17,topStencil.core.k_flux2.po0,hdiff_out0.pi0,1024,"(7, 4)",0,0,-
buf30,topStencil.core.k_lap.po1,topStencil.core.k_flux1.pi4,1024,"(7, 1)",1,0,-
sysmem20,-,-,2080,"(8, 3)",0,0,-
buf13,topStencil.core.k_flux1.po1,topStencil.core.k_flux2.pi1,2048,"(7, 3)",2,0,-
buf34,topStencil.core.k_flux1.po1,topStencil.core.k_flux2.pi1,2048,"(7, 3)",1,2048,-
buf15,topStencil.core.k_flux1.po3,topStencil.core.k_flux2.pi3,2048,"(7, 3)",0,2048,-
buf4,hdiff_in2.po0,topStencil.core.k_flux1.pi1,1024,"(7, 3)",0,4096,-
buf28,hdiff_in4.po0,topStencil.core.k_lap.pi4,1024,"(7, 2)",2,7168,-
buf8,topStencil.core.k_lap.po0,topStencil.core.k_flux1.pi3,1024,"(7, 2)",2,6144,-
buf29,topStencil.core.k_lap.po0,topStencil.core.k_flux1.pi3,1024,"(7, 2)",1,6688,-
buf26,hdiff_in3.po0,topStencil.core.k_lap.pi3,1024,"(7, 2)",1,0,-
buf11,topStencil.core.k_lap.po3,topStencil.core.k_flux1.pi6,1024,"(7, 2)",0,7168,-
buf10,topStencil.core.k_lap.po2,topStencil.core.k_flux1.pi5,1024,"(7, 2)",0,0,-
buf7,hdiff_in4.po0,topStencil.core.k_lap.pi4,1024,"(7, 2)",0,1024,-
buf23,hdiff_in1.po0,topStencil.core.k_flux1.pi0,1024,"(6, 2)",1,0,-
buf2,hdiff_in1.po0,topStencil.core.k_flux1.pi0,1024,"(6, 2)",0,0,-
buf24,hdiff_in2.po0,topStencil.core.k_lap.pi2,1024,"(8, 1)",1,1024,-
sysmem18,-,-,2080,"(8, 1)",0,0,-
buf22,hdiff_in1.po0,topStencil.core.k_lap.pi1,1024,"(7, 0)",0,0,-
buf35,topStencil.core.k_flux1.po2,topStencil.core.k_flux2.pi2,2048,"(7, 3)",0,6144,-
sysmem19,-,-,2080,"(7, 1)",0,6112,-
buf6,hdiff_in3.po0,topStencil.core.k_flux1.pi2,1024,"(6, 2)",2,0,-
buf37,topStencil.core.k_flux1.po4,topStencil.core.k_flux2.pi4,2048,"(7, 3)",2,2048,-
buf33,topStencil.core.k_flux1.po0,topStencil.core.k_flux2.pi0,2048,"(7, 3)",3,0,-
buf3,hdiff_in2.po0,topStencil.core.k_lap.pi2,1024,"(8, 1)",2,0,-
buf31,topStencil.core.k_lap.po2,topStencil.core.k_flux1.pi5,1024,"(7, 2)",3,2048,-
buf1,hdiff_in1.po0,topStencil.core.k_lap.pi1,1024,"(7, 0)",2,0,-
buf14,topStencil.core.k_flux1.po2,topStencil.core.k_flux2.pi2,2048,"(7, 3)",3,2048,-
buf36,topStencil.core.k_flux1.po3,topStencil.core.k_flux2.pi3,2048,"(7, 3)",2,4096,-
buf5,hdiff_in3.po0,topStencil.core.k_lap.pi3,1024,"(7, 2)",3,0,-
buf21,hdiff_in0.po0,topStencil.core.k_lap.pi0,1024,"(7, 0)",3,0,-
buf32,topStencil.core.k_lap.po3,topStencil.core.k_flux1.pi6,1024,"(7, 1)",3,0,-
buf16,topStencil.core.k_flux1.po4,topStencil.core.k_flux2.pi4,2048,"(7, 3)",3,6144,-
buf9,topStencil.core.k_lap.po1,topStencil.core.k_flux1.pi4,1024,"(7, 1)",2,0,-
buf25,hdiff_in2.po0,topStencil.core.k_flux1.pi1,1024,"(7, 3)",1,7168,-
buf27,hdiff_in3.po0,topStencil.core.k_flux1.pi2,1024,"(6, 2)",3,0,-
buf12,topStencil.core.k_flux1.po0,topStencil.core.k_flux2.pi0,2048,"(7, 3)",1,5120,-
buf0,hdiff_in0.po0,topStencil.core.k_lap.pi0,1024,"(7, 0)",1,0,-


PLIO,IN/OUT,TILE_COLUMN,CHANNEL
hdiff_in0,in,7,2
hdiff_out0,out,7,0
hdiff_in1,in,7,0
hdiff_in2,in,7,6
hdiff_in3,in,7,1
hdiff_in4,in,7,4


CLUSTER,KERNELS,TILE
PT2,"topStencil.core.k_flux2,","(7, 3)"
PT1,"topStencil.core.k_flux1,","(7, 2)"
PT0,"topStencil.core.k_lap,","(7, 1)"
